icao,lat,lon
07IA,42.8333,-94.8669
07ID,42.2782,-113.305
07IN,39.5737,-85.9139
07K,41.1167,-98.0503
07KS,37.7342,-96.9367
07KY,38.0806,-85.6933
07L,42.0751,-72.5912
07MD,39.6083,-77.0519
07MI,43.8642,-85.0239
07MN,44.055,-95.9095
07MO,38.65,-93.6169
07MT,48.4211,-106.528
07N,40.0168,-77.0039
07NC,34.8332,-80.7512
07ND,47.1561,-102.064
07OK,34.6334,-99.0337
07OR,45.4218,-122.62
07PA,40.7584,-75.533
07R,27.6103,-97.7519
07TA,29.2405,-95.3447
07TE,27.7211,-97.5128
07TN,35.5686,-84.2411
07TS,30.625,-97.5728
07V,37.5238,-105.009
07VA,36.8196,-78.7831
07WI,42.9653,-88.3915
07Y,46.9555,-93.5969
08A,32.5294,-86.3282
08AR,34.5807,-91.9682
08B,44.0001,-69.887
08C,42.9359,-85.805
08CL,37.8596,-120.554
08CT,41.896,-73.0931
08D,48.3008,-102.406
08F,34.5318,-96.2331
08FA,26.5798,-81.4837
08FD,27.3631,-80.7728
08FL,27.0845,-81.3287
08GA,31.4258,-81.2859
08IA,41.4105,-92.8816
08ID,43.5693,-116.777
08IL,41.577,-89.794
08IS,37.9778,-89.2029
08K,40.6514,-98.0798
08KS,39.0347,-97.58
08KY,36.9726,-84.6261
08LL,41.0753,-88.4892
08M,32.7612,-89.5301
08MA,42.294,-71.4962
08MN,47.6694,-93.0544
08MO,37.3956,-94.2838
08MT,47.0639,-108.817
08N,40.2918,-76.3288
08NC,36.0676,-80.4656
08ND,47.3231,-102.098
08NE,42.4317,-97.0795
08NY,41.3681,-74.5056
08OH,41.2917,-80.5637
08OK,34.9315,-95.2583
08OR,42.8393,-121.117
08R,41.489,-71.6203
08TE,29.976,-98.7436
08TS,26.8878,-98.5072
08TX,32.8582,-97.7475
08U,41.5157,-115.86
08VA,37.554,-79.7498
08WI,43.0436,-90.3551
09A,32.1193,-88.1275
09AZ,31.9253,-110.038
09C,42.1625,-85.5458
09CL,39.1138,-121.057
09CO,38.0556,-103.653
09FA,27.2456,-81.4131
09FD,28.6711,-82.0873
09FL,30.9022,-87.1765
09GA,31.1113,-83.6841
09I,48.6135,-93.361
09IA,41.7458,-92.4093
09ID,45.1041,-114.855
09II,38.4473,-86.445
09IN,41.1209,-85.425
09J,31.0745,-81.4278
09K,41.637,-99.3404
09KS,38.707,-95.1383
09LL,42.4681,-88.7432
09M,33.9915,-90.0781
09MA,42.3043,-71.5059
09MN,44.78,-95.6636
09MO,37.3784,-93.3633
09MT,46.8333,-108.917
09N,41.8326,-73.876
09NC,35.3293,-79.03
09NE,41.3333,-96.1936
09OH,40.3498,-80.9051
09OK,36.3545,-95.8639
09PA,40.827,-77.9881
09R,30.7747,-94.4588
09S,48.8416,-117.284
09TA,31.1605,-96.4375
09TE,32.2668,-97.867
09TS,29.4824,-103.165
09TX,30.7391,-102.024
09VA,36.9765,-80.4939
09WI,44.0036,-91.3076
09Y,44.8166,-93.0155
0A2,34.0904,-82.5679
0A3,35.9853,-85.8093
0A4,36.3637,-82.309
0A7,35.3076,-82.4332
0A8,32.9368,-87.0889
0A9,36.3712,-82.1734
0AK,61.9346,-162.9
0AK0,64.3925,-146.862
0AK1,61.617,-149.315
0AK2,71.0588,-154.751
0AK3,62.0359,-150.494
0AK6,61.8034,-147.944
0AL1,30.4439,-87.6569
0AL5,31.0322,-87.2528
0AL9,34.85,-87.6325
0AR1,35.0947,-93.202
0AR2,35.2668,-90.3501
0AR3,35.899,-93.261
0AR7,33.9501,-91.1812
0AZ1,32.3009,-111.324
0AZ2,33.7781,-113.642
0AZ4,32.9823,-112.287
0AZ5,33.8659,-112.603
0B1,44.4251,-70.8078
0B2,44.7637,-68.7678
0B4,42.6036,-97.2526
0B5,42.5914,-72.5228
0B7,44.1167,-72.8271
0B8,41.2513,-72.0316
0C0,42.4025,-88.6324
0C1,39.4878,-94.7805
0C2,41.7709,-88.7034
0C3,41.4834,-88.0834
0C4,42.1139,-96.7289
0C5,43.5764,-85.2806
0C7,41.522,-89.1326
0C8,41.5195,-88.6056
0CA1,34.9883,-120.458
0CA3,34.5875,-120.013
0CA4,34.6222,-120.065
0CA5,33.1431,-116.745
0CA6,32.7494,-116.016
0CA8,33.4278,-116.843
0CA9,35.595,-120.339
0CL1,34.5694,-117.556
0CL3,32.6331,-116.893
0CL6,34.6947,-118.283
0CL8,35.5913,-117.634
0CO1,40.0333,-105.124
0CO2,38.8519,-106.933
0CO3,39.8894,-104.545
0CO5,39.8333,-103.59
0CO6,38.2194,-108.213
0CO8,40.2083,-105.013
0CO9,37.6583,-106.034
0D1,42.3508,-86.2561
0D4,42.3562,-79.5489
0D5,43.1667,-76.808
0D6,40.475,-96.9878
0D7,40.7906,-83.8291
0D8,44.9873,-99.9535
0F2,33.6017,-97.7756
0F3,43.3875,-95.1392
0F4,41.2903,-98.9906
0F7,35.389,-95.6016
0F8,36.1753,-96.1518
0F9,34.1959,-96.6756
0FA1,27.3039,-81.8804
0FD0,29.2675,-81.2301
0FD6,27.9075,-80.4864
0FD9,30.6521,-86.1094
0FL0,26.7306,-81.1639
0FL1,29.9833,-82.8356
0FL2,28.7877,-81.1676
0FL5,28.4594,-81.3497
0FL8,30.1939,-81.6819
0FL9,26.3939,-81.0231
0G0,43.1032,-78.7033
0G3,40.3994,-96.1714
0G5,47.8163,-90.3976
0G6,41.4674,-84.5066
0G7,42.8836,-76.7811
0GA0,33.3562,-84.3671
0GA1,34.4754,-82.9025
0GA2,34.3773,-82.9396
0GA3,33.7701,-85.0608
0GA4,33.8129,-83.5057
0GA6,33.7334,-83.8188
0GA7,33.6834,-84.9999
0GA8,30.8871,-83.416
0GA9,32.7139,-84.0275
0GE0,33.7821,-84.8008
0GE1,31.6655,-83.4471
0GE2,31.1405,-85.0466
0GE3,34.9047,-85.4597
0GE4,33.3314,-84.2667
0GE5,34.5618,-83.7135
0H1,39.0045,-99.8929
0H7,40.425,-91.7127
0I2,39.4767,-87.0997
0I8,38.3667,-84.2841
0IA3,42.4347,-92.328
0IA4,41.0334,-91.0501
0IA5,40.8722,-93.2627
0IA6,41.6597,-92.2899
0IA8,42.228,-91.751
0II0,40.26,-85.2533
0II1,40.4281,-86.1533
0II2,41.4573,-86.1244
0II3,40.6278,-86.0378
0II5,40.6595,-86.8572
0II6,41.6431,-85.8297
0II7,39.7956,-85.7861
0II8,41.3248,-87.4759
0II9,39.5342,-86.5772
0IL2,40.8473,-88.0478
0IL3,40.157,-87.6745
0IL8,41.8725,-88.7237
0IL9,41.8548,-88.7873
0IN1,38.5,-87.5959
0IN2,40.8278,-85.0861
0IN3,41.1167,-86.6667
0IN4,41.1278,-84.9472
0IN5,38.329,-86.0336
0IN9,37.9931,-87.9514
0IS3,41.6608,-89.6936
0IS4,39.7625,-88.6715
0IS5,38.9345,-89.6251
0J0,31.6002,-85.2388
0J4,31.0425,-86.3116
0J6,31.3649,-85.3097
0J8,29.618,-82.5087
0J9,40.8695,-97.3517
0K6,36.179,-95.5811
0K7,42.7361,-94.2452
0KS0,38.6333,-95.9253
0KS1,39.2167,-95.3372
0KS2,38.56,-95.3091
0KS3,38.5667,-95.3669
0KS4,38.8083,-95.5989
0KS6,37.4522,-97.3178
0KS7,37.6928,-97.8864
0KS8,37.3825,-95.3747
0KS9,37.5159,-96.9198
0KY1,36.7656,-86.6183
0KY4,37.5644,-87.0819
0KY5,36.8125,-86.375
0KY7,36.6361,-88.9986
0KY8,37.1172,-83.7361
0L0,34.9617,-116.675
0L4,37.4858,-117.191
0L5,37.718,-117.238
0L7,35.7683,-115.33
0L8,39.075,-94.5063
0L9,36.3111,-114.464
0LA1,30.2294,-90.9734
0LA2,30.278,-90.9632
0LA3,32.7493,-93.8735
0LA9,30.5863,-90.8615
0LL0,42.2647,-88.73
0LL1,39.0942,-90.3134
0LL2,40.7389,-90.3807
0LL3,39.055,-90.3421
0LL4,41.4192,-89.1231
0LL5,40.11,-88.0784
0LL6,41.6984,-88.6076
0LL8,40.8336,-88.3776
0LS0,29.7497,-90.7358
0LS1,30.2239,-92.7786
0LS4,30.8087,-92.188
0LS5,30.3069,-92.1298
0LS6,30.7877,-92.0504
0LS7,30.6128,-91.4842
0LS8,30.2858,-92.9413
0LS9,32.5043,-91.9821
0M0,33.8845,-91.5343
0M1,35.6378,-88.128
0M2,36.4753,-89.3462
0M3,35.546,-87.5973
0M4,36.0112,-88.1233
0M5,36.1166,-87.7382
0M6,34.3668,-89.9001
0M8,32.8259,-91.1877
0M9,32.4107,-91.4987
0MD1,39.1873,-75.7927
0MD2,38.2879,-76.8675
0MD4,39.2668,-76.1872
0MD6,39.3812,-77.1058
0MI1,44.1403,-84.4375
0MI2,44.5222,-83.6833
0MI3,44.6334,-84.4834
0MI4,46.2702,-87.3865
0MI5,47.122,-88.5639
0MI6,46.3875,-85.184
0MI8,44.9,-84.3
0MN0,44.7969,-92.9841
0MN1,44.2625,-94.0697
0MN2,46.1333,-93.003
0MN3,46.6719,-94.2946
0MN4,46.4792,-94.323
0MN5,44.3072,-94.9169
0MN6,43.6622,-92.4043
0MN8,45.1358,-92.8594
0MO0,38.4103,-93.8502
0MO1,38.5445,-94.0947
0MO2,37.7867,-90.7801
0MO3,38.4403,-94.5933
0MO5,40.1334,-92.1002
0MO6,40.1167,-92.2669
0MO8,39.1406,-90.7368
0MS0,32.475,-88.6167
0MS1,31.4252,-90.9029
0MS2,31.5418,-89.3917
0MS5,33.3918,-90.9168
0MS7,34.3426,-89.1431
0MS8,33.6993,-91.1651
0MS9,33.8007,-89.0273
0MT0,46.7271,-113.658
0MT1,47.4975,-112.391
0MT4,46.2786,-114.141
0MT5,45.6342,-108.849
0MT6,48.0406,-114.679
0MT7,47.6608,-115.404
0MT9,48.4833,-114.493
0MU0,37.2347,-91.0936
0MU1,37.2467,-94.1739
0MU4,39.6161,-92.8669
0MU7,38.875,-94.1397
0MU8,37.4387,-89.759
0N0,39.2911,-94.4422
0N4,39.2023,-75.4855
0N6,39.0126,-75.5335
0NA1,46.2455,-97.0376
0NA2,46.7658,-96.9287
0NA3,46.9025,-97.0983
0NA4,46.8055,-97.9051
0NA5,48.0011,-99.5629
0NA8,47.8747,-101.146
0NA9,46.75,-103.801
0NC1,35.4571,-82.3754
0NC8,35.7557,-80.7353
0ND0,47.9292,-99.4004
0ND2,47.1722,-96.8406
0ND6,46.055,-99.9171
0ND7,46.4653,-100.105
0NE0,41.85,-101.95
0NE1,42.4072,-101.932
0NE2,41.8666,-101.917
0NE5,41.0211,-102.018
0NE6,40.4333,-98.0706
0NJ5,40.8859,-74.7057
0NJ6,39.3168,-74.6329
0NK0,42.334,-78.7909
0NK1,43.3617,-76.2202
0NK2,42.9834,-74.0162
0NK3,42.6959,-77.7922
0NK6,42.4384,-76.0888
0NK8,41.9209,-73.6704
0NK9,43.0103,-75.8269
0NM0,31.8237,-107.627
0NM2,32.5001,-106.687
0NM7,33.5209,-108.543
0NY0,43.7001,-73.9829
0NY1,43.1392,-73.6532
0NY2,43.3417,-75.3579
0NY3,43.314,-74.9321
0NY4,42.9576,-78.5514
0NY7,43.0376,-74.1843
0NY8,42.9973,-74.2454
0O0,37.0583,-121.126
0O2,35.2855,-116.083
0O4,39.9438,-122.171
0O5,38.5315,-121.786
0O9,41.8457,-123.985
0OH2,39.9706,-83.9116
0OH4,40.347,-82.7777
0OH5,39.4431,-84.043
0OH6,39.6006,-84.0197
0OH7,40.1433,-84.1719
0OH8,40.1884,-84.2561
0OH9,40.0717,-83.2299
0OI2,39.3598,-83.4177
0OI3,41.3821,-82.7161
0OI4,41.3237,-81.1634
0OI6,41.8381,-80.6437
0OI9,38.8945,-83.1135
0OK0,35.6834,-97.4336
0OK1,34.657,-97.4017
0OK3,35.6195,-98.5226
0OK4,34.6606,-96.2536
0OK5,35.8889,-97.4003
0OK6,35.8017,-97.3861
0OK8,36.2925,-97.5931
0OK9,36.2134,-96.637
0OR1,44.5024,-119.372
0OR3,42.019,-121.704
0OR5,42.5035,-122.855
0OR6,42.834,-117.629
0OR7,44.854,-123.264
0OR8,42.4848,-122.866
0OR9,45.5926,-121.549
0P1,39.8322,-99.5687
0P2,39.7948,-76.6472
0PA0,40.3284,-75.2413
0PA2,40.3168,-77.1247
0PA3,41.7495,-76.7602
